date,year,month,day,importer_en,product_type_en,country_origin_en,country_export_en,importer_ko,product_name,product_en,product_type_ko,exporter_en,expiry_date,country_origin_ko,country_export_ko,importer,notes
2026-04-17,2026,4,17,Onnuri Bio,Deer velvet (dried),New Zealand,China,(주)온누리바이오생약,녹용,DEER HORN,녹용(건조),"TIELING AOLU TRADE CO.,LTD",,뉴질랜드,중국,(주)온누리바이오생약,
2026-04-07,2026,4,7,WooSung (Mr Bang),Deer velvet (dried),New Zealand,China,(주)우성생약,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),"XIFENG MINHE DEER PRODUCTS CO.,LTD",,뉴질랜드,중국,(주)우성생약,
2026-04-07,2026,4,7,GaOn Pharm,Deer velvet (frozen),New Zealand,New Zealand,주식회사 가온제약,냉동녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),CK IMPORT-EXPORT COMPANY NZ LIMITED,,뉴질랜드,뉴질랜드,주식회사 가온제약,
2026-04-03,2026,4,3,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용,WHOLE FROZEN DEER VELVET,생녹용(냉동),ROKLAND CORPORATION LIMITED,2026-02-25 ~,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2026-04-03,2026,4,3,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2026-03-25,2026,3,25,OnBio,Deer velvet (frozen),New Zealand,New Zealand,온바이오,생녹용(냉동),FROZEN DEER VELVET,생녹용(냉동),YIK LUNG TONG(NZ) INTERNAIONAL LIMITED,,뉴질랜드,뉴질랜드,온바이오,
2026-03-17,2026,3,17,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),PROVELCO LTD,2026-01-21 ~,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2026-03-16,2026,3,16,Bio Dot (Han Dong Herb),Deer velvet (frozen),New Zealand,New Zealand,(주)바이오닷,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),C K IMPORT EXPORT CO (NZ) LTD,2026-01-27 ~ 2029-01-27,뉴질랜드,뉴질랜드,(주)바이오닷,
2026-03-12,2026,3,12,YW International,Deer velvet (frozen),New Zealand,New Zealand,와이더블유 인터내셔날,냉동녹용,FROZEN WHOLE DEER VELVET ANTLER,생녹용(냉동),ROKLAND CORPORATION LIMITED,,뉴질랜드,뉴질랜드,와이더블유 인터내셔날,
2026-03-12,2026,3,12,KGC,Deer velvet (frozen),New Zealand,New Zealand,(주)한국인삼공사,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),PAREX INTERNATIONAL LTD,,뉴질랜드,뉴질랜드,(주)한국인삼공사,
2026-03-11,2026,3,11,Yujin Trade,Deer velvet (dried),New Zealand,China,유진통상,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),DALIAN HENGLU DEER INDUSTRY CO LTD,,뉴질랜드,중국,유진통상,
2026-02-20,2026,2,20,Eryong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,주식회사 이룡제약,생녹용(냉동),FROZEN DEER VELVET,생녹용(냉동),YIK LUNG TONG(NZ) INTERNAIONAL LIMITED,,뉴질랜드,뉴질랜드,주식회사 이룡제약,
2026-02-05,2026,2,5,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2026-01-27,2026,1,27,KNC Deertrade,Deer velvet (dried),New Zealand,China,(주)케이앤씨디어트레이드,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),"DALIAN F.T.Z. JUNFENG INTERNATIONAL INDUSTRIAL & TRADE CO.,LTD.",,뉴질랜드,중국,(주)케이앤씨디어트레이드,
2026-01-15,2026,1,15,YW International,Deer velvet (frozen),New Zealand,New Zealand,와이더블유 인터내셔날,냉동녹용,FROZEN WHOLE DEER VELVET ANTLER,생녹용(냉동),ROKLAND CORPORATION LIMITED,,뉴질랜드,뉴질랜드,와이더블유 인터내셔날,
2026-01-09,2026,1,9,Geonhyang Pharm.,Deer velvet (dried),Russia,Russia,건향제약주식회사,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),IP SHPILEKOV ALEXEY MIKHAILOVICH,,러시아,러시아,건향제약주식회사,
2026-01-09,2026,1,9,Bio Dot (Han Dong Herb),Deer velvet (frozen),New Zealand,New Zealand,(주)바이오닷,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),C K IMPORT EXPORT CO (NZ) LTD,2025-12-09 ~ 2028-12-09,뉴질랜드,뉴질랜드,(주)바이오닷,
2025-12-15,2025,12,15,HwaYong Pharm.,Deer velvet (dried),New Zealand,China,화용제약,녹용,DEER HORN,녹용(건조),DALIAN SHENG EN DEER PRODUCTS CO LTD,,뉴질랜드,중국,화용제약,
2025-12-15,2025,12,15,YongBo (Mr. Woljin Kim),Deer velvet (dried),New Zealand,China,(주)용보제약,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),"XIFENG MINHE DEER PRODUCTS CO.,LTD",,뉴질랜드,중국,(주)용보제약,
2025-12-10,2025,12,10,HwaYong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,화용제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),CK IMPORT EXPORT CO.(NZ) LTD,,뉴질랜드,뉴질랜드,화용제약,
2025-12-10,2025,12,10,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,생녹용(냉동),PROVELCO LTD,,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2025-12-08,2025,12,8,Yujin Trade,Deer velvet (dried),New Zealand,China,유진통상,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),DALIAN HENGLU DEER INDUSTRY CO LTD,,뉴질랜드,중국,유진통상,
2025-12-04,2025,12,4,JoEun Pharm,Deer velvet (dried),Russia,Russia,조은생약,녹용,DEER HORN,녹용(건조),"UIMON CO.,LTD",,러시아,러시아,조은생약,
2025-11-28,2025,11,28,WooSung (Mr Bang),Deer velvet (dried),New Zealand,China,(주)우성생약,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),"XIFENG MINHE DEER PRODUCTS CO.,LTD",,뉴질랜드,중국,(주)우성생약,
2025-11-20,2025,11,20,OnBio,Deer velvet (dried),New Zealand,China,온바이오,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),DALIAN SHENG EN DEER PRODUCTS CO LTD,,뉴질랜드,중국,온바이오,
2025-11-14,2025,11,14,Eryong Pharm.,Deer velvet (frozen),New Zealand,New Zealand,주식회사 이룡제약,생녹용(냉동),FROZEN DEER HORN,생녹용(냉동),ORIENTAL DEER HOLDINGS LIMITED,,뉴질랜드,뉴질랜드,주식회사 이룡제약,
2025-11-11,2025,11,11,DaeWon RTD,Deer velvet (dried),Russia,Russia,(주)대원알디티,녹용(건조),DEER HORNS VELVET ANTLER,녹용(건조),SPK ABAISKI,,러시아,러시아,(주)대원알디티,
2025-11-11,2025,11,11,Heungsoo Nogyong,Deer velvet (dried),Russia,Russia,흥수녹용,녹용(건조),MARAL DEER HORNS,녹용(건조),SPK ABAISKI,,러시아,러시아,흥수녹용,
2025-10-23,2025,10,23,Eryong Pharm.,Deer velvet (dried),New Zealand,China,주식회사 이룡제약,녹용,DEER HORN,녹용(건조),"DALIAN CHANG LU DEER INDUSTRY CO., LTD",2025-10-09 ~,뉴질랜드,중국,주식회사 이룡제약,
2025-10-23,2025,10,23,KNC Deertrade,Deer velvet (frozen),New Zealand,New Zealand,(주)케이앤씨디어트레이드,생녹용,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),ORIENTAL DEER HOLDINGS LIMITED,2025-09-08 ~,뉴질랜드,뉴질랜드,(주)케이앤씨디어트레이드,
2025-09-23,2025,9,23,KGC,Deer velvet (dried),New Zealand,New Zealand,(주)한국인삼공사,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),PAREX INTERNATIONAL LTD,,뉴질랜드,뉴질랜드,(주)한국인삼공사,
2025-09-23,2025,9,23,OnBio,Deer velvet (dried),New Zealand,China,온바이오,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),"DALIAN F.T.Z. JUNFENG INTERNATIONAL INDUSTRIAL & TRADE CO.,LTD.",,뉴질랜드,중국,온바이오,
2025-09-09,2025,9,9,KGC,Deer velvet (dried),New Zealand,New Zealand,(주)한국인삼공사,녹용(건조),DRIED RED DEER VELVET ANTLER,녹용(건조),ORIENTAL DEER HOLDINGS LIMITED,,뉴질랜드,뉴질랜드,(주)한국인삼공사,
