source_name_kr,match_key,canonical_name_en,public_display_name,country,notes
주식회사 가온제약,가온제약,GaOn Pharm,GaOn Pharm,KR,
건향제약주식회사,건향제약,Geonhyang Pharm.,Geonhyang Pharm.,KR,
(주)대덕제약,대덕제약,Daedeok Pharm.,Daedeok Pharm.,KR,
(주)대원알디티,대원알디티,DaeWon RTD,DaeWon RTD,KR,
(주)대한녹용수출입법인,대한녹용수출입법인,"KVIE (Alex, HanPure)","KVIE (Alex, HanPure)",KR,
대호제약주식회사,대호제약,Daeho Pharm.,Daeho Pharm.,KR,
(주)대흥제약,대흥제약,Daeheung Pharm,Daeheung Pharm,KR,
동화무약,동화무약,DongWha Pharmaceutical Trading Co.,DongWha Pharmaceutical Trading Co.,KR,
(주)디에이치지글로벌,디에이치지글로벌,DHG Global,DHG Global,KR,
록원,록원,Rokone,Rokone,KR,
(주)루스마르코,루스마르코,Looce Masco,Looce Masco,KR,
명가녹용 주식회사,명가녹용,MyungGa (Mr.Lee in Daegu),MyungGa (Mr.Lee in Daegu),KR,
밀리언 무역,밀리언무역,Million Trade,Million Trade,KR,
(주)바이오닷,바이오닷,Bio Dot (Han Dong Herb),Bio Dot (Han Dong Herb),KR,
바이칼허브,바이칼허브,Baikal Herb,Baikal Herb,KR,
주식회사 비봉허브,비봉허브,Bibong Herb,Bibong Herb,KR,
비아텍주식회사,비아텍,Bia Tech,Bia Tech,KR,
삼보제약,삼보제약,SamBo (Mr. Kang in Busan),SamBo (Mr. Kang in Busan),KR,
상녹제약(주),상녹제약,SangNok Pharm.,SangNok Pharm.,KR,
(주)서화제약,서화제약,SeoHwa Pharm.,SeoHwa Pharm.,KR,
(주)수식품,수식품,Su Food (Mr. Choi),Su Food (Mr. Choi),KR,
시베리안앤틀러팜스 주식회사,시베리안앤틀러팜스,Siberian Antlers Pharms Inc.,Siberian Antlers Pharms Inc.,KR,
(주)시원생약,시원생약,Siwon Pharmaceutical,Siwon Pharmaceutical,KR,
신송강무역,신송강무역,ShinSongGang Trade,ShinSongGang Trade,KR,
(주)온누리바이오생약,온누리바이오생약,Onnuri Bio,Onnuri Bio,KR,
온바이오,온바이오,OnBio,OnBio,KR,
와이더블유 인터내셔날,와이더블유인터내셔날,YW International,YW International,KR,
(주)용보제약,용보제약,YongBo (Mr. Woljin Kim),YongBo (Mr. Woljin Kim),KR,
(주)우성생약,우성생약,WooSung (Mr Bang),WooSung (Mr Bang),KR,
(주)원경약업사,원경약업사,Wonkyung Yakup,Wonkyung Yakup,KR,
원용본가,원용본가,WonYong Bonga,WonYong Bonga,KR,
유진통상,유진통상,Yujin Trade,Yujin Trade,KR,
주식회사 유한건강생활,유한건강생활,Yuhan Care,Yuhan Care,KR,
(주)유한양행,유한양행,Yuhan Corporation.,Yuhan Corporation.,KR,
주식회사 이룡제약,이룡제약,Eryong Pharm.,Eryong Pharm.,KR,
(주)이룸제약법인,이룸제약법인,Ee Room Pharm.,Ee Room Pharm.,KR,
일성식품,일성식품,Ilseong Food,Ilseong Food,KR,
조은생약,조은생약,JoEun Pharm,JoEun Pharm,KR,
주신제약(주),주신제약,JooShin Pharm,JooShin Pharm,KR,
진가식품,진가식품,Jinka Food,Jinka Food,KR,
(주)진수녹용,진수녹용,"Jinsoo Deer Co., Ltd.","Jinsoo Deer Co., Ltd.",KR,
천지담은 바이오,천지담은바이오,CheonJi Bio,CheonJi Bio,KR,
천호식품(주)양산공장,천호식품양산공장,Chunho Food,Chunho Food,KR,
(주)천호엔케어,천호엔케어,Chunho N Care,Chunho N Care,KR,
케이앤씨(K&C),케이앤씨KC,K&C,K&C,KR,
(주)케이앤씨디어트레이드,케이앤씨디어트레이드,KNC Deertrade,KNC Deertrade,KR,
태안약업(주),태안약업,Taeahn (Mr. Ahn),Taeahn (Mr. Ahn),KR,
하랑무약,하랑무약,Harang Muyak,Harang Muyak,KR,
(주)한국온누리제약,한국온누리제약,Hankook Onnuri Pharm,Hankook Onnuri Pharm,KR,
(주)한국인삼공사,한국인삼공사,KGC,KGC,KR,
(주)한국허브,한국허브,HanKook Herb,HanKook Herb,KR,
한네이처(Hannature),한네이처HANNATURE,Hannature,Hannature,KR,
(주)한동허브,한동허브,Handong Herb,Handong Herb,KR,
주식회사 한방인 농업법인회사,한방인농업법인회사,Hanbangin,Hanbangin,KR,
한선무역,한선무역,Hansun Trading,Hansun Trading,KR,
한선트레이딩 주식회사,한선트레이딩,Hansun Trading,Hansun Trading,KR,
한스약품주식회사,한스약품,Hans Pharm Inc,Hans Pharm Inc,KR,
향나바이오 주식회사,향나바이오,Hyangna Bio,Hyangna Bio,KR,
주식회사 허브앤솔루션,허브앤솔루션,Herb&Solution,Herb&Solution,KR,
화용제약,화용제약,HwaYong Pharm.,HwaYong Pharm.,KR,
흥수녹용,흥수녹용,Heungsoo Nogyong,Heungsoo Nogyong,KR,
마더스초이스,마더스초이스,Mothers Choice,Mothers Choice,KR,added by backfill_company_mapping.py 2026-07-05
(주)엘지생활건강,엘지생활건강,LG H&H,LG H&H,KR,added by backfill_company_mapping.py 2026-07-05
아로하가든,아로하가든,Aloha Garden,Aloha Garden,KR,added by backfill_company_mapping.py 2026-07-05
(주)유앤젯인터내셔날,유앤젯인터내셔날,U&Jet International,U&Jet International,KR,added by backfill_company_mapping.py 2026-07-05
