date,importer_ko,product_name,product_type_ko,country_origin_ko,country_export_ko,expiry_date,notes,ingested_at
2026-04-17,(주)온누리바이오생약,녹용,녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2026-04-07,(주)우성생약,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2026-04-07,주식회사 가온제약,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-04-03,(주)케이앤씨디어트레이드,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2026-02-25 ~,,2026-07-04T23:37:12Z (bootstrap)
2026-04-03,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-03-25,온바이오,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-03-17,(주)케이앤씨디어트레이드,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2026-01-21 ~,,2026-07-04T23:37:12Z (bootstrap)
2026-03-16,(주)바이오닷,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2026-01-27 ~ 2029-01-27,,2026-07-04T23:37:12Z (bootstrap)
2026-03-12,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-03-12,(주)한국인삼공사,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-03-11,유진통상,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2026-02-20,주식회사 이룡제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-02-05,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-01-27,(주)케이앤씨디어트레이드,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2026-01-15,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2026-01-09,건향제약주식회사,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2026-01-09,(주)바이오닷,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2025-12-09 ~ 2028-12-09,,2026-07-04T23:37:12Z (bootstrap)
2025-12-15,화용제약,녹용,녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-12-15,(주)용보제약,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-12-10,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-12-10,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-12-08,유진통상,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-12-04,조은생약,녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-11-28,(주)우성생약,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-11-20,온바이오,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-11-14,주식회사 이룡제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-11-11,(주)대원알디티,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-11-11,흥수녹용,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-10-23,주식회사 이룡제약,녹용,녹용(건조),뉴질랜드,중국,2025-10-09 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-10-23,(주)케이앤씨디어트레이드,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2025-09-08 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-09-23,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-09-23,온바이오,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-09-09,(주)한국인삼공사,녹용(건조),녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-09-02,향나바이오 주식회사,녹용,녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-08-29,유진통상,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-08-27,시베리안앤틀러팜스 주식회사,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-07-01,(주)온누리바이오생약,녹용,녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-06-26,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-06-04,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-06-04,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-05-27,(주)온누리바이오생약,녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-05-22,(주)온누리바이오생약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-05-01,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-05-01,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-04-25,(주)케이앤씨디어트레이드,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2025-02-20 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-04-18,(주)천호엔케어,녹용,녹용(건조),뉴질랜드,뉴질랜드,2025-03-24 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-04-11,유진통상,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-04-02,(주)바이오닷,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2025-02-10 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-03-28,주식회사 비봉허브,녹용,녹용(건조),뉴질랜드,뉴질랜드,2025-03-06 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-03-26,주식회사 이룡제약,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-17,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-13,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-12,주식회사 가온제약,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2025-01-30 ~,,2026-07-04T23:37:12Z (bootstrap)
2025-03-10,대호제약주식회사,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-07,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-05,록원,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-03-04,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-28,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-26,태안약업(주),녹용,녹용(건조),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-25,유진통상,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-18,(주)온누리바이오생약,녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-18,향나바이오 주식회사,녹용,녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-18,(주)대원알디티,녹용(건조),녹용(건조),러시아,러시아,,,2026-07-04T23:37:12Z (bootstrap)
2025-02-14,와이더블유 인터내셔날,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-01-24,주식회사 유한건강생활,녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-01-15,록원,냉동녹용,생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2025-01-09,(주)진수녹용,생녹용,생녹용(냉동),뉴질랜드,뉴질랜드,2024-12-10 ~,,2026-07-04T23:37:12Z (bootstrap)
2024-12-27,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-12-19,(주)케이앤씨디어트레이드,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-12-12,화용제약,생녹용(냉동),생녹용(냉동),뉴질랜드,뉴질랜드,,,2026-07-04T23:37:12Z (bootstrap)
2024-12-09,(주)우성생약,녹용(건조),녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
2024-12-09,한스약품주식회사,건조녹용,녹용(건조),뉴질랜드,중국,,,2026-07-04T23:37:12Z (bootstrap)
