date,importer,product_en,product_name,product_type_en,country_origin_en,importer_ko,importer_en,notes
2026-04-17,(주)온누리바이오생약,DEER HORN,녹용,Deer velvet (dried),New Zealand,(주)온누리바이오생약,Onnuri Bio,
2026-04-07,(주)우성생약,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)우성생약,WooSung,
2026-04-07,주식회사 가온제약,FROZEN RED DEER VELVET ANTLER,냉동녹용,Deer velvet (frozen),New Zealand,주식회사 가온제약,GaOn Pharm,
2026-04-03,(주)케이앤씨디어트레이드,WHOLE FROZEN DEER VELVET,생녹용,Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2026-04-03,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2026-03-25,온바이오,FROZEN DEER VELVET,생녹용(냉동),Deer velvet (frozen),New Zealand,온바이오,OnBio,
2026-03-17,(주)케이앤씨디어트레이드,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2026-03-16,(주)바이오닷,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,(주)바이오닷,Bio Dot,
2026-03-12,와이더블유 인터내셔날,FROZEN WHOLE DEER VELVET ANTLER,냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2026-03-12,(주)한국인삼공사,FROZEN RED DEER VELVET ANTLER,생녹용(냉동),Deer velvet (frozen),New Zealand,(주)한국인삼공사,KGC,
2026-03-11,유진통상,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,유진통상,Yujin Trade,
2026-02-20,주식회사 이룡제약,FROZEN DEER VELVET,생녹용(냉동),Deer velvet (frozen),New Zealand,주식회사 이룡제약,Eryong Pharm.,
2026-02-05,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2026-01-27,(주)케이앤씨디어트레이드,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)케이앤씨디어트레이드,KNC Deertrade,
2026-01-15,와이더블유 인터내셔날,FROZEN WHOLE DEER VELVET ANTLER,냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2026-01-09,건향제약주식회사,DEER HORNS VELVET ANTLER,녹용(건조),Deer velvet (dried),Russia,건향제약주식회사,Geonhyang Pharm.,
2026-01-09,(주)바이오닷,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,(주)바이오닷,Bio Dot,
2025-12-15,화용제약,DEER HORN,녹용,Deer velvet (dried),New Zealand,화용제약,HwaYong Pharm.,
2025-12-15,(주)용보제약,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)용보제약,YongBo,
2025-12-10,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
