date,series,hs_code,hs_label,value,unit,country,notes,hs_code_10digit,product_type
2021-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",6000,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",505311,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",5219,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",557474,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-01,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",10500,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",1077619,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-02,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-03,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,NZD,Taiwan,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",5000,KG,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",582030,NZD,Korea,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",29346,KG,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",3115582,NZD,China,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
2021-04,nz_export,507.9,"Horns, antlers, hooves, nails, claws and beaks — other",0,KG,Hong Kong,source: NZ_EXPORT_2021-2026_TEX001F.csv | provisional: False,,
